contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,525,9,2.27,0.00114,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174947__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,530,9,2.33,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174949__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,529,9,1.75,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174951__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,528,9,2.17,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174953__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,532,9,1.89,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174955__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,532,9,1.36,0.00115,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174956__extraction__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,1010,9,2.69,0.00211,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174959__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,1015,42,1.54,0.00245,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175001__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,1014,9,1.39,0.00212,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175002__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,1013,9,2.42,0.00212,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175004__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,1017,9,2.27,0.00212,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175007__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,1017,9,1.94,0.00212,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175009__extraction__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,6663,53,3.09,0.01386,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175012__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,6668,112,3.71,0.01446,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175015__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,1,True,,6667,298,4.67,0.01631,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175020__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,2,True,,6666,302,4.48,0.01635,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175025__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,2,True,,6670,152,3.2,0.01486,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175028__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,0,True,,6670,9,1.38,0.01343,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175029__extraction__claude-sonnet-5__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0,True,,9325,9,2.76,0.01874,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175032__extraction__claude-sonnet-5__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,1,True,,9330,40,3.23,0.01906,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175035__extraction__claude-sonnet-5__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,1,True,,9329,136,3.85,0.02002,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175039__extraction__claude-sonnet-5__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,1,True,,9328,69,3.07,0.01935,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175042__extraction__claude-sonnet-5__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Ip Ownership Assignment,0,True,,9332,9,2.17,0.01875,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175044__extraction__claude-sonnet-5__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Ip-Ownership-Assignment.txt
