contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,348,6,1.2,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153545__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,350,6,0.92,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153546__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,347,6,0.78,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153546__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,347,6,0.83,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153547__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,349,6,0.72,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153548__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,351,6,1.0,0.00024,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153549__extraction__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,640,6,0.85,0.00043,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153550__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,642,31,1.05,0.00049,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153551__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,639,6,0.89,0.00043,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153552__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,639,6,0.79,0.00043,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153553__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,641,6,0.94,0.00043,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153553__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,643,6,0.91,0.00044,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153554__extraction__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,4135,32,1.46,0.00279,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153556__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,4137,72,1.35,0.00287,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153557__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,1,True,,4134,72,1.42,0.00287,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153559__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,1,True,,4134,177,1.85,0.00308,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153600__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,0,True,,4136,6,1.08,0.00274,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153602__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,0,True,,4138,6,1.02,0.00274,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153603__extraction__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0,True,,5763,6,1.04,0.00382,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153604__extraction__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,1,True,,5765,26,2.13,0.00386,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153606__extraction__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,1,True,,5762,87,2.05,0.00398,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153608__extraction__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,1,True,,5762,36,3.19,0.00387,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T153611__extraction__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
