contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,357,6,4.88,0.00079,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175711__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,360,6,4.2,0.00079,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175715__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,356,6,4.26,0.00078,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175719__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,357,5,4.76,0.00077,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175724__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,358,6,4.81,0.00079,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175729__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,360,6,3.83,0.00079,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175732__extraction__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,704,6,4.95,0.00148,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175737__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,707,47,7.68,0.00198,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175745__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,703,10,4.7,0.00153,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175750__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,704,5,4.4,0.00147,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175754__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,705,10,7.89,0.00153,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175802__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,707,6,4.28,0.00149,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175806__extraction__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,4021,32,5.14,0.00843,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175812__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,4024,83,9.13,0.00904,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175821__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,0,True,,4020,5,7.14,0.0081,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175828__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,1,True,,4021,150,16.78,0.00984,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175845__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,1,True,,4022,75,10.53,0.00894,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175855__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
