contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,349,9,4.04,0.00081,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174810__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,352,35,2.32,0.00112,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174812__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,349,26,1.85,0.00101,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174814__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,349,9,1.11,0.00081,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174815__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,351,8,1.24,0.0008,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174816__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,353,9,1.39,0.00081,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174818__extraction__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,636,9,1.12,0.00138,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174819__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,639,101,2.01,0.00249,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174821__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,636,28,1.31,0.00161,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174822__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,636,31,2.46,0.00164,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174825__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,638,29,1.68,0.00162,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174826__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,640,30,1.31,0.00164,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174828__extraction__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,3934,35,2.0,0.00829,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174830__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,3937,164,2.63,0.00984,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174832__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,1,True,,3934,174,4.06,0.00996,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174836__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,1,True,,3934,120,2.52,0.00931,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174839__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,2,True,,3936,247,3.97,0.01084,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174843__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,1,True,,3938,202,3.14,0.0103,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174846__extraction__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0,True,,5682,8,1.21,0.01146,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174847__extraction__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,2,True,,5685,190,2.94,0.01365,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174850__extraction__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,2,True,,5682,280,4.46,0.01472,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T174855__extraction__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
