contract,category,n_spans,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0.0,,374,7,2.68,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173036__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0.0,,376,7,1.82,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173037__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0.0,,373,7,0.97,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173038__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0.0,,373,7,0.79,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173039__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0.0,,375,7,1.23,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173040__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0.0,,377,7,0.44,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173041__extraction__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0.0,,661,7,2.11,0.00069,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173043__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1.0,,663,32,1.07,0.00072,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173044__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0.0,,660,7,0.36,0.00069,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173044__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0.0,,660,7,1.02,0.00069,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173045__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0.0,,662,7,0.75,0.0007,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173046__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0.0,,664,7,0.76,0.0007,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173047__extraction__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1.0,,3979,33,0.83,0.00417,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173048__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1.0,,3981,73,2.25,0.00422,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173050__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,1.0,,3978,73,1.21,0.00421,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173051__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,2.0,,3978,142,1.85,0.00428,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173053__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,2.0,,3980,102,1.54,0.00425,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173055__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,0.0,,3982,7,1.12,0.00415,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173056__extraction__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0.0,,5745,7,1.31,0.00598,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173057__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,2.0,,5747,99,1.96,0.00608,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173059__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,1.0,,5744,78,1.32,0.00605,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173100__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,1.0,,5744,36,0.72,0.00601,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173101__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Ip Ownership Assignment,0.0,,5746,7,1.13,0.00598,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173102__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Ip-Ownership-Assignment.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Non-Compete,0.0,,5748,7,0.8,0.00599,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173103__extraction__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Non-Compete.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Governing Law,1.0,,11852,46,2.13,0.01237,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173105__extraction__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Governing-Law.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Expiration Date,1.0,,11854,100,2.19,0.01243,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T173107__extraction__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Expiration-Date.txt
