contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0,True,,,535,9,end_turn,2.78,0.00116,results/raw/20260818T161123__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0,True,,,530,9,end_turn,2.16,0.00115,results/raw/20260818T161125__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0,True,,,608,9,end_turn,1.31,0.00131,results/raw/20260818T161126__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0,True,,,570,9,end_turn,1.29,0.00123,results/raw/20260818T161128__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0,True,,,624,9,end_turn,1.39,0.00134,results/raw/20260818T161129__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0,True,,,556,9,end_turn,2.37,0.0012,results/raw/20260818T161131__extraction-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0,True,,,1020,9,end_turn,2.59,0.00213,results/raw/20260818T161134__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1,True,,,1015,42,end_turn,1.58,0.00245,results/raw/20260818T161136__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0,True,,,1093,9,end_turn,1.85,0.00228,results/raw/20260818T161137__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0,True,,,1055,9,end_turn,2.18,0.0022,results/raw/20260818T161140__extraction-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
