contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0,True,,,356,6,stop,1.99,0.00025,results/raw/20260818T161122__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0,True,,,353,6,stop,1.39,0.00024,results/raw/20260818T161123__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0,True,,,398,6,stop,1.46,0.00027,results/raw/20260818T161125__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0,True,,,375,6,stop,1.47,0.00026,results/raw/20260818T161126__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0,True,,,412,6,stop,1.41,0.00028,results/raw/20260818T161128__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0,True,,,370,6,stop,1.3,0.00026,results/raw/20260818T161129__extraction-v2__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0,True,,,648,6,stop,1.42,0.00044,results/raw/20260818T161131__extraction-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1,True,,,645,31,stop,1.73,0.00049,results/raw/20260818T161132__extraction-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0,True,,,690,6,stop,1.46,0.00047,results/raw/20260818T161134__extraction-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0,True,,,667,6,stop,1.38,0.00045,results/raw/20260818T161135__extraction-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,short,302,0,True,,,704,6,stop,1.22,0.00048,results/raw/20260818T161136__extraction-v2__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
