contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0.0,True,,,364.0,6.0,stop,5.3,0.0008,results/raw/20260818T161125__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0.0,True,,,362.0,6.0,stop,5.2,0.0008,results/raw/20260818T161131__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0.0,True,,,407.0,5.0,stop,4.55,0.00087,results/raw/20260818T161135__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0.0,True,,,385.0,6.0,stop,4.27,0.00084,results/raw/20260818T161139__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0.0,True,,,423.0,6.0,stop,6.2,0.00092,results/raw/20260818T161146__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0.0,True,,,378.0,6.0,stop,4.73,0.00083,results/raw/20260818T161150__extraction-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0.0,True,,,711.0,6.0,stop,4.29,0.00149,results/raw/20260818T161155__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1.0,True,,,709.0,47.0,stop,4.7,0.00198,results/raw/20260818T161159__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0.0,True,,,754.0,6.0,stop,4.88,0.00158,results/raw/20260818T161204__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0.0,True,,,732.0,6.0,stop,5.09,0.00154,results/raw/20260818T161209__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
