contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0.0,True,,,356.0,9.0,stop,2.76,0.00082,results/raw/20260818T161123__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0.0,True,,,354.0,32.0,stop,2.11,0.00109,results/raw/20260818T161125__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0.0,True,,,400.0,8.0,stop,2.66,0.0009,results/raw/20260818T161128__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0.0,True,,,377.0,24.0,stop,1.68,0.00104,results/raw/20260818T161129__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0.0,True,,,414.0,22.0,stop,1.69,0.00109,results/raw/20260818T161131__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0.0,True,,,371.0,9.0,stop,1.24,0.00085,results/raw/20260818T161132__extraction-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0.0,True,,,643.0,8.0,stop,1.13,0.00138,results/raw/20260818T161133__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1.0,True,,,641.0,34.0,stop,1.5,0.00169,results/raw/20260818T161135__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0.0,True,,,687.0,27.0,stop,1.32,0.0017,results/raw/20260818T161136__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0.0,True,,,664.0,29.0,stop,1.44,0.00168,results/raw/20260818T161138__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,short,302,0.0,True,,,701.0,37.0,stop,1.74,0.00185,results/raw/20260818T161139__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,short,302,0.0,True,,,658.0,28.0,stop,1.42,0.00165,results/raw/20260818T161141__extraction-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Governing Law,short,529,0.0,True,,,1048.0,8.0,stop,1.44,0.00219,results/raw/20260818T161142__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Expiration Date,short,529,0.0,True,,,1046.0,33.0,stop,1.36,0.00249,results/raw/20260818T161144__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Expiration-Date.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Termination For Convenience,short,529,0.0,True,,,1092.0,22.0,stop,1.96,0.00245,results/raw/20260818T161146__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Cap On Liability,short,529,0.0,True,,,1069.0,9.0,stop,2.45,0.00225,results/raw/20260818T161148__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Ip Ownership Assignment,short,529,0.0,True,,,1106.0,8.0,stop,1.45,0.00231,results/raw/20260818T161149__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Non-Compete,short,529,0.0,True,,,1063.0,42.0,stop,1.63,0.00263,results/raw/20260818T161151__extraction-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Non-Compete.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Governing Law,short,756,0.0,True,,,1300.0,28.0,stop,2.55,0.00294,results/raw/20260818T161154__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Governing-Law.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Expiration Date,short,756,1.0,True,,,1298.0,115.0,stop,2.47,0.00398,results/raw/20260818T161156__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Termination For Convenience,short,756,1.0,True,,,1344.0,145.0,stop,2.93,0.00443,results/raw/20260818T161159__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Cap On Liability,short,756,0.0,True,,,1321.0,33.0,stop,1.68,0.00304,results/raw/20260818T161201__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Ip Ownership Assignment,short,756,0.0,True,,,1358.0,40.0,stop,1.8,0.0032,results/raw/20260818T161203__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Non-Compete,short,756,0.0,True,,,1315.0,37.0,stop,1.54,0.00307,results/raw/20260818T161204__extraction-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Non-Compete.txt
