contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,short,109,0,True,,,381,7,stop,2.28,0.0004,results/raw/20260818T161122__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,short,109,0,True,,,378,7,stop,1.09,0.0004,results/raw/20260818T161123__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,short,109,0,True,,,425,7,stop,3.14,0.00045,results/raw/20260818T161127__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,short,109,0,True,,,401,7,stop,1.77,0.00042,results/raw/20260818T161128__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,short,109,0,True,,,438,7,stop,1.63,0.00046,results/raw/20260818T161130__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,short,109,0,True,,,395,7,stop,1.47,0.00042,results/raw/20260818T161131__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,short,302,0,True,,,668,7,stop,1.64,0.0007,results/raw/20260818T161133__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,short,302,1,True,,,665,32,stop,0.78,0.00072,results/raw/20260818T161134__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,short,302,0,True,,,712,7,stop,2.34,0.00075,results/raw/20260818T161136__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,short,302,0,True,,,688,7,stop,1.15,0.00072,results/raw/20260818T161137__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,short,302,0,True,,,725,7,stop,1.06,0.00076,results/raw/20260818T161138__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,short,302,0,True,,,682,7,stop,1.29,0.00072,results/raw/20260818T161140__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Governing Law,short,529,4,True,,,1073,90,stop,2.74,0.00121,results/raw/20260818T161142__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Expiration Date,short,529,0,True,,,1070,7,stop,1.02,0.00112,results/raw/20260818T161143__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Expiration-Date.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Termination For Convenience,short,529,0,True,,,1117,7,stop,2.07,0.00117,results/raw/20260818T161146__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Cap On Liability,short,529,0,True,,,1093,7,stop,1.66,0.00114,results/raw/20260818T161147__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Ip Ownership Assignment,short,529,0,True,,,1130,7,stop,0.77,0.00118,results/raw/20260818T161148__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Non-Compete,short,529,0,True,,,1087,7,stop,1.07,0.00114,results/raw/20260818T161149__extraction-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Non-Compete.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Governing Law,short,756,0,True,,,1339,7,stop,0.76,0.0014,results/raw/20260818T161150__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Governing-Law.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Expiration Date,short,756,0,True,,,1336,7,stop,1.3,0.0014,results/raw/20260818T161151__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Termination For Convenience,short,756,1,True,,,1383,33,stop,1.81,0.00147,results/raw/20260818T161153__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Cap On Liability,short,756,0,True,,,1359,7,stop,0.43,0.00142,results/raw/20260818T161153__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Ip Ownership Assignment,short,756,0,True,,,1396,7,stop,1.48,0.00146,results/raw/20260818T161155__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Non-Compete,short,756,0,True,,,1353,7,stop,1.03,0.00141,results/raw/20260818T161156__extraction-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Non-Compete.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Governing Law,short,903,1,True,,,1415,55,stop,0.9,0.00153,"results/raw/20260818T161157__extraction-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Expiration Date,short,903,0,True,,,1412,7,stop,0.81,0.00148,"results/raw/20260818T161158__extraction-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Expiration-Date.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Termination For Convenience,short,903,1,True,,,1459,35,stop,0.92,0.00155,"results/raw/20260818T161159__extraction-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Cap On Liability,short,903,1,True,,,1435,127,stop,2.3,0.00162,"results/raw/20260818T161201__extraction-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
