contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Governing Law,0,True,,381,7,1.15,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154939__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Expiration Date,0,True,,378,7,1.91,0.0004,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154940__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Expiration-Date.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Termination For Convenience,0,True,,425,7,0.32,0.00045,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154941__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Cap On Liability,0,True,,401,7,1.73,0.00042,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154943__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Ip Ownership Assignment,0,True,,438,7,0.27,0.00046,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154943__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Ip-Ownership-Assignment.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Non-Compete,0,True,,395,7,0.87,0.00042,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154944__extraction-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Non-Compete.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Governing Law,0,True,,668,7,0.65,0.0007,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154944__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Governing-Law.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Expiration Date,1,True,,665,32,0.88,0.00072,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154945__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Termination For Convenience,0,True,,712,7,0.51,0.00075,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154946__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Cap On Liability,0,True,,688,7,0.93,0.00072,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154947__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,0,True,,725,7,0.6,0.00076,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154947__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,0,True,,682,7,1.05,0.00072,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154948__extraction-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,1,True,,3986,33,1.05,0.00418,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154949__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,1,True,,3983,33,0.79,0.00418,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154950__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,1,True,,4030,81,1.07,0.00428,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154951__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,2,True,,4006,169,1.62,0.00434,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154953__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,0,True,,4043,7,0.59,0.00421,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154953__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,3,True,,4000,188,1.73,0.00436,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154955__extraction-v2__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0,True,,5752,7,1.8,0.00599,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T154957__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,1,True,,5749,27,4.11,0.00601,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155001__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,2,True,,5796,134,3.61,0.00617,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155005__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,5,True,,5772,174,1.8,0.00618,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155006__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Ip Ownership Assignment,0,True,,5809,7,0.87,0.00605,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155007__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Ip-Ownership-Assignment.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Non-Compete,0,True,,5766,7,0.84,0.006,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155008__extraction-v2__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Non-Compete.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Governing Law,1,True,,11859,46,2.19,0.01238,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155010__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Governing-Law.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Expiration Date,1,True,,11856,37,1.92,0.01237,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155012__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Expiration-Date.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Termination For Convenience,2,False,,11903,291,3.08,0.01268,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155015__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Termination-For-Convenience.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Cap On Liability,2,True,,11879,178,2.15,0.01254,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155018__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Cap-On-Liability.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Ip Ownership Assignment,2,True,,11916,312,3.13,0.01272,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155021__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Ip-Ownership-Assignment.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Non-Compete,4,True,,11873,396,4.02,0.01276,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260818T155025__extraction-v2__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Non-Compete.txt
