contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,easy,Governing Law,short,109,,not specified,,,510,13,end_turn,2.62,0.00115,results/raw/20260818T193038__qa-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,moderate,Termination For Convenience,short,109,No,No,,,521,11,end_turn,1.33,0.00115,results/raw/20260818T193039__qa-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,hard,Cap On Liability,short,109,No,No,,,539,11,end_turn,1.93,0.00119,results/raw/20260818T193041__qa-v2__claude-sonnet-5__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,easy,Expiration Date,short,302,2/28/06,02/28/2006,,,1015,16,end_turn,2.4,0.00219,results/raw/20260818T193043__qa-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,moderate,Termination For Convenience,short,302,No,not specified,,,1006,13,end_turn,2.31,0.00214,results/raw/20260818T193046__qa-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,hard,Ip Ownership Assignment,short,302,No,not specified,,,1013,13,end_turn,2.45,0.00216,results/raw/20260818T193048__qa-v2__claude-sonnet-5__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,easy,Governing Law,short,529,,not specified,,,1689,13,end_turn,2.0,0.00351,results/raw/20260818T193050__qa-v2__claude-sonnet-5__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,moderate,Termination For Convenience,short,529,No,not specified,,,1700,13,end_turn,3.34,0.00353,results/raw/20260818T193054__qa-v2__claude-sonnet-5__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,hard,Cap On Liability,short,529,No,No,,,1718,11,end_turn,1.41,0.00355,results/raw/20260818T193055__qa-v2__claude-sonnet-5__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,easy,Expiration Date,short,756,,not specified,,,2259,13,end_turn,1.37,0.00465,results/raw/20260818T193056__qa-v2__claude-sonnet-5__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,moderate,Termination For Convenience,short,756,Yes,Yes,,,2250,13,end_turn,2.41,0.00463,results/raw/20260818T193059__qa-v2__claude-sonnet-5__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,hard,Ip Ownership Assignment,short,756,No,No,,,2257,11,end_turn,2.62,0.00462,results/raw/20260818T193101__qa-v2__claude-sonnet-5__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",easy,Governing Law,short,903,Colorado,Colorado,,,2263,14,end_turn,2.2,0.00467,"results/raw/20260818T193104__qa-v2__claude-sonnet-5__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,short,903,Yes,Yes,,,2274,13,end_turn,1.89,0.00468,"results/raw/20260818T193106__qa-v2__claude-sonnet-5__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",hard,Cap On Liability,short,903,No,No,,,2292,11,end_turn,1.38,0.00469,"results/raw/20260818T193107__qa-v2__claude-sonnet-5__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,easy,Expiration Date,short,1762,,perpetual,,,3804,14,end_turn,2.1,0.00775,results/raw/20260818T193109__qa-v2__claude-sonnet-5__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Expiration-Date.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,moderate,Termination For Convenience,short,1762,No,Yes,,,3795,13,end_turn,1.73,0.00772,results/raw/20260818T193111__qa-v2__claude-sonnet-5__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Termination-For-Convenience.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,hard,Ip Ownership Assignment,short,1762,No,No,,,3802,11,end_turn,2.62,0.00771,results/raw/20260818T193113__qa-v2__claude-sonnet-5__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Ip-Ownership-Assignment.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,easy,Governing Law,short,1849,Taiwan,R.O.C. (Taiwan),,,4496,23,end_turn,2.25,0.00922,results/raw/20260818T193116__qa-v2__claude-sonnet-5__ImperialGardenResortInc_20161028_DRS_(on__Governing-Law.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,moderate,Termination For Convenience,short,1849,No,No,,,4507,11,end_turn,1.69,0.00912,results/raw/20260818T193117__qa-v2__claude-sonnet-5__ImperialGardenResortInc_20161028_DRS_(on__Termination-For-Convenience.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,hard,Cap On Liability,short,1849,No,No,,,4525,11,end_turn,1.46,0.00916,results/raw/20260818T193119__qa-v2__claude-sonnet-5__ImperialGardenResortInc_20161028_DRS_(on__Cap-On-Liability.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Expiration Date,short,2320,9/24/23,09/24/2023,,,5267,16,end_turn,1.87,0.01069,results/raw/20260818T193121__qa-v2__claude-sonnet-5__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Expiration-Date.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2320,Yes,Yes,,,5258,13,end_turn,2.21,0.01065,results/raw/20260818T193123__qa-v2__claude-sonnet-5__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Termination-For-Convenience.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2320,No,No,,,5265,11,end_turn,1.46,0.01064,results/raw/20260818T193124__qa-v2__claude-sonnet-5__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Ip-Ownership-Assignment.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,easy,Governing Law,short,2438,New York,New York,,,6449,12,end_turn,2.31,0.01302,results/raw/20260818T193127__qa-v2__claude-sonnet-5__MorganStanleyDirectLendingFund_20191119___Governing-Law.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,moderate,Termination For Convenience,short,2438,Yes,Yes,,,6460,13,end_turn,2.45,0.01305,results/raw/20260818T193129__qa-v2__claude-sonnet-5__MorganStanleyDirectLendingFund_20191119___Termination-For-Convenience.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,hard,Cap On Liability,short,2438,Yes,No,,,6478,11,end_turn,2.62,0.01307,results/raw/20260818T193132__qa-v2__claude-sonnet-5__MorganStanleyDirectLendingFund_20191119___Cap-On-Liability.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,easy,Expiration Date,short,2765,,not specified,,,7274,13,end_turn,2.61,0.01468,results/raw/20260818T193134__qa-v2__claude-sonnet-5__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Expiration-Date.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,moderate,Termination For Convenience,short,2765,No,No,,,7265,11,end_turn,1.44,0.01464,results/raw/20260818T193136__qa-v2__claude-sonnet-5__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Termination-For-Convenience.txt
