contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,easy,Governing Law,short,109,,not specified,,,354,12,stop,5.74,0.00085,results/raw/20260819T214832__qa-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,moderate,Termination For Convenience,short,109,No,No,,,356,11,stop,13.49,0.00084,results/raw/20260819T214846__qa-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,hard,Cap On Liability,short,109,No,No,,,368,6,stop,4.47,0.00081,results/raw/20260819T214850__qa-v2__gemini-3.1-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,easy,Expiration Date,short,302,2/28/06,02/28/2006,,,714,20,stop,4.12,0.00167,results/raw/20260819T214855__qa-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,moderate,Termination For Convenience,short,302,No,No,,,703,11,stop,8.1,0.00154,results/raw/20260819T214903__qa-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,hard,Ip Ownership Assignment,short,302,No,No,,,710,11,stop,11.0,0.00155,results/raw/20260819T214914__qa-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,easy,Governing Law,short,529,,not specified,,,1062,7,stop,4.98,0.00221,results/raw/20260819T214919__qa-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,moderate,Termination For Convenience,short,529,No,not specified,,,1064,6,stop,4.84,0.0022,results/raw/20260819T214923__qa-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,hard,Cap On Liability,short,529,No,No,,,1076,11,stop,5.12,0.00228,results/raw/20260819T214929__qa-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,easy,Expiration Date,short,756,,not specified,,,1354,12,stop,7.35,0.00285,results/raw/20260819T214936__qa-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
