contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,easy,Governing Law,short,109,,not specified,,,342.0,9.0,stop,3.74,0.00079,results/raw/20260818T193039__qa-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,moderate,Termination For Convenience,short,109,No,not specified,,,345.0,9.0,stop,1.77,0.0008,results/raw/20260818T193041__qa-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,hard,Cap On Liability,short,109,No,No,,,356.0,8.0,stop,1.33,0.00081,results/raw/20260818T193042__qa-v2__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,easy,Expiration Date,short,302,2/28/06,02/28/2006,,,640.0,13.0,stop,1.46,0.00144,results/raw/20260818T193044__qa-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,moderate,Termination For Convenience,short,302,No,not specified,,,632.0,9.0,stop,1.25,0.00137,results/raw/20260818T193045__qa-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,hard,Ip Ownership Assignment,short,302,No,No,,,639.0,8.0,stop,1.53,0.00137,results/raw/20260818T193046__qa-v2__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,easy,Governing Law,short,529,,not specified,,,1034.0,9.0,stop,1.23,0.00218,results/raw/20260818T193048__qa-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,moderate,Termination For Convenience,short,529,No,not specified,,,1037.0,9.0,stop,1.37,0.00218,results/raw/20260818T193049__qa-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,hard,Cap On Liability,short,529,No,No,,,1048.0,8.0,stop,1.36,0.00219,results/raw/20260818T193050__qa-v2__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,easy,Expiration Date,short,756,,not specified,,,1297.0,9.0,stop,1.17,0.0027,results/raw/20260818T193051__qa-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,moderate,Termination For Convenience,short,756,Yes,not specified,,,1289.0,64.0,stop,2.28,0.00335,results/raw/20260818T193054__qa-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,hard,Ip Ownership Assignment,short,756,No,not specified,,,1296.0,9.0,stop,1.75,0.0027,results/raw/20260818T193056__qa-v2__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",easy,Governing Law,short,903,Colorado,Colorado,,,1381.0,8.0,stop,1.34,0.00286,"results/raw/20260818T193057__qa-v2__gpt-5.6-terra__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,short,903,Yes,Yes,,,1384.0,45.0,stop,1.53,0.00331,"results/raw/20260818T193058__qa-v2__gpt-5.6-terra__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",hard,Cap On Liability,short,903,No,No,,,1395.0,8.0,stop,1.4,0.00289,"results/raw/20260818T193100__qa-v2__gpt-5.6-terra__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,easy,Expiration Date,short,1762,,not specified,,,2376.0,9.0,stop,1.35,0.00486,results/raw/20260818T193101__qa-v2__gpt-5.6-terra__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Expiration-Date.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,moderate,Termination For Convenience,short,1762,No,Yes,,,2368.0,8.0,stop,1.46,0.00483,results/raw/20260818T193103__qa-v2__gpt-5.6-terra__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Termination-For-Convenience.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,hard,Ip Ownership Assignment,short,1762,No,No,,,2375.0,8.0,stop,2.39,0.00485,results/raw/20260818T193105__qa-v2__gpt-5.6-terra__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Ip-Ownership-Assignment.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,easy,Governing Law,short,1849,Taiwan,Taiwan,,,2718.0,9.0,stop,1.4,0.00554,results/raw/20260818T193106__qa-v2__gpt-5.6-terra__ImperialGardenResortInc_20161028_DRS_(on__Governing-Law.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,moderate,Termination For Convenience,short,1849,No,not specified,,,2721.0,9.0,stop,1.31,0.00555,results/raw/20260818T193108__qa-v2__gpt-5.6-terra__ImperialGardenResortInc_20161028_DRS_(on__Termination-For-Convenience.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,hard,Cap On Liability,short,1849,No,No,,,2732.0,8.0,stop,1.16,0.00556,results/raw/20260818T193109__qa-v2__gpt-5.6-terra__ImperialGardenResortInc_20161028_DRS_(on__Cap-On-Liability.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Expiration Date,short,2320,9/24/23,09/24/2023,,,3304.0,53.0,stop,2.03,0.00724,results/raw/20260818T193111__qa-v2__gpt-5.6-terra__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Expiration-Date.txt
