contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,easy,Governing Law,short,109,,not specified,,,370,8,stop,1.1,0.00039,results/raw/20260818T172140__qa-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Governing-Law.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,moderate,Termination For Convenience,short,109,No,not specified,,,372,8,stop,0.37,0.0004,results/raw/20260818T172140__qa-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Termination-For-Convenience.txt
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,hard,Cap On Liability,short,109,No,No,,,383,7,stop,1.79,0.00041,results/raw/20260818T172142__qa-v2__llama-3.3-70b__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL__Cap-On-Liability.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,easy,Expiration Date,short,302,2/28/06,02/28/2006,,,667,12,stop,0.49,0.00071,results/raw/20260818T172142__qa-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Expiration-Date.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,moderate,Termination For Convenience,short,302,No,not specified,,,659,8,stop,0.44,0.00069,results/raw/20260818T172143__qa-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Termination-For-Convenience.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,hard,Ip Ownership Assignment,short,302,No,not specified,,,666,8,stop,0.42,0.0007,results/raw/20260818T172143__qa-v2__llama-3.3-70b__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,easy,Governing Law,short,529,,not specified,,,1062,8,stop,0.95,0.00111,results/raw/20260818T172144__qa-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,moderate,Termination For Convenience,short,529,No,not specified,,,1064,8,stop,0.44,0.00111,results/raw/20260818T172145__qa-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,hard,Cap On Liability,short,529,No,No,,,1075,7,stop,0.49,0.00113,results/raw/20260818T172145__qa-v2__llama-3.3-70b__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,easy,Expiration Date,short,756,,not specified,,,1338,8,stop,0.34,0.0014,results/raw/20260818T172146__qa-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,moderate,Termination For Convenience,short,756,Yes,Yes,,,1330,7,stop,0.32,0.00139,results/raw/20260818T172146__qa-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,hard,Ip Ownership Assignment,short,756,No,No,,,1337,7,stop,0.52,0.0014,results/raw/20260818T172146__qa-v2__llama-3.3-70b__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",easy,Governing Law,short,903,Colorado,Colorado,,,1404,7,stop,0.59,0.00147,"results/raw/20260818T172147__qa-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,short,903,Yes,Yes,,,1406,7,stop,0.9,0.00147,"results/raw/20260818T172148__qa-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",hard,Cap On Liability,short,903,No,No,,,1417,7,stop,0.53,0.00148,"results/raw/20260818T172148__qa-v2__llama-3.3-70b__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,easy,Expiration Date,short,1762,,not specified,,,2444,8,stop,1.3,0.00255,results/raw/20260818T172150__qa-v2__llama-3.3-70b__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Expiration-Date.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,moderate,Termination For Convenience,short,1762,No,Yes,,,2436,7,stop,0.63,0.00254,results/raw/20260818T172150__qa-v2__llama-3.3-70b__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Termination-For-Convenience.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,hard,Ip Ownership Assignment,short,1762,No,No,,,2443,7,stop,0.4,0.00255,results/raw/20260818T172151__qa-v2__llama-3.3-70b__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Ip-Ownership-Assignment.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,easy,Governing Law,short,1849,Taiwan,R.O.C.,,,2756,10,stop,0.53,0.00288,results/raw/20260818T172151__qa-v2__llama-3.3-70b__ImperialGardenResortInc_20161028_DRS_(on__Governing-Law.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,moderate,Termination For Convenience,short,1849,No,not specified,,,2758,8,stop,0.43,0.00288,results/raw/20260818T172152__qa-v2__llama-3.3-70b__ImperialGardenResortInc_20161028_DRS_(on__Termination-For-Convenience.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,hard,Cap On Liability,short,1849,No,No,,,2769,7,stop,0.39,0.00289,results/raw/20260818T172152__qa-v2__llama-3.3-70b__ImperialGardenResortInc_20161028_DRS_(on__Cap-On-Liability.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Expiration Date,short,2320,9/24/23,09/24/2023,,,3355,12,stop,0.59,0.0035,results/raw/20260818T172153__qa-v2__llama-3.3-70b__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Expiration-Date.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2320,Yes,Yes,,,3347,7,stop,0.58,0.00349,results/raw/20260818T172153__qa-v2__llama-3.3-70b__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Termination-For-Convenience.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2320,No,No,,,3354,7,stop,0.39,0.0035,results/raw/20260818T172154__qa-v2__llama-3.3-70b__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Ip-Ownership-Assignment.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,easy,Governing Law,short,2438,New York,New York,,,3784,8,stop,0.84,0.00394,results/raw/20260818T172155__qa-v2__llama-3.3-70b__MorganStanleyDirectLendingFund_20191119___Governing-Law.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,moderate,Termination For Convenience,short,2438,Yes,Yes,,,3786,7,stop,0.96,0.00394,results/raw/20260818T172156__qa-v2__llama-3.3-70b__MorganStanleyDirectLendingFund_20191119___Termination-For-Convenience.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,hard,Cap On Liability,short,2438,Yes,No,,,3797,7,stop,0.87,0.00396,results/raw/20260818T172156__qa-v2__llama-3.3-70b__MorganStanleyDirectLendingFund_20191119___Cap-On-Liability.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,easy,Expiration Date,short,2765,,not specified,,,4504,8,stop,0.65,0.00469,results/raw/20260818T172157__qa-v2__llama-3.3-70b__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Expiration-Date.txt
