Filename,txt_name,txt_path,word_count,stratum,Governing Law,Expiration Date,Termination For Convenience,Cap On Liability,Ip Ownership Assignment,Non-Compete,Governing Law-Answer,Expiration Date-Answer,Termination For Convenience-Answer,Cap On Liability-Answer,Ip Ownership Assignment-Answer,Non-Compete-Answer
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,109,short,[],[],[],[],[],[],,,No,No,No,No
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.PDF,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,302,short,[],"['The effective term is 12 months beginning March 1, 2005 and ending February 28, 2006.']",[],[],[],[],,2/28/06,No,No,No,No
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,529,short,[],[],[],[],[],[],,,No,No,No,No
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,756,short,[],['The first paid (Initial) Maintenance Term shall commence upon expiration of the Warranty Period and shall continue for twelve (12) months thereafter.'],"['Bank of America may terminate Maintenance Services for convenience at any time in accordance with the Section entitled ""Termination"" of the Agreement.']",[],[],[],,,Yes,No,No,No
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF","GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt","/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",903,short,['This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.'],[],['Either Party may terminate this Agreement at any time prior to delivery of the Product.'],[],[],[],Colorado,,Yes,No,No,No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.PDF,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,1762,short,['This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.'],"['Notwithstanding the foregoing, to the extent that the Services to be provided with respect to any Account which is registered as an investment company under the 1940 Act (herein referred to as a ""registered investment company"") are services referred to in the definition of ""investment advisor"" under Section 202(a)(11) of the Investment Company Act of 1940 (herein referred to as ""investment advisory services""), then with respect to such Account, this Agreement:\n\n(i) shall not commence until the effective date of its approval by the board of directors or trustees (""Board"") of such Account;\n\n(ii) shall continue from year to year thereafter, subject to the provisions for termination and all other terms and conditions hereof, only if such continuation shall be specifically approved at least annually by a majority of the Board, including a majority of the members of the Board who are not parties to this Agreement or interested persons of any such party (other than as members of the Board) cast in person at a meeting called for that purpose;\n\n(iii) may be terminated at any time without the payment of any penalty by the Board or by a vote of a majority of the outstanding voting securities (as defined in Section 2(a)(42) of the 1940 Act) of the Account on 60 days\' written notice to the Adviser;\n\n(iv) shall automatically terminate in the event of (A) its assignment (as defined in the 1940 Act) or (B) termination of the Advisory Agreement for any reason whatsoever.', ""Subject to the remaining provisions of this Section, the term of this Agreement shall begin on the effective date first above written and shall continue until terminated by mutual agreement of the parties hereto or by either party on not less than 60 days' written notice to the other party hereto.""]",[],['The Adviser and FASC are each hereby expressly put on notice of the limitation of liability set forth in the Declaration of Trust of the other party.'],[],[],Pennsylvania,,No,Yes,No,No
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,1849,short,"['Should either Party herein initiate a legal proceeding for revoking any arbitration result regarding the Contract, both Parties herein agree to take the Miaoli District Court of Taiwan as the competent court of first instance pursuant to the laws of the R.O.C..']",[],[],[],[],[],Taiwan,,No,No,No,No
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,2320,short,['This agreement will be governed by and must be construed in accordance with the laws of the State of Israel'],"['Unless sooner terminated in accordance with the provisions hereof, the initial term of this Agreement (""Initial Term"") will be ten (10) years from the Effective Date, provided that at any time following the 7th anniversary of such date, either party may terminate such strategic alliance upon not less than 60 days\' prior written notice to the other party.']","['Unless sooner terminated in accordance with the provisions hereof, the initial term of this Agreement (""Initial Term"") will be ten (10) years from the Effective Date, provided that at any time following the 7th anniversary of such date, either party may terminate such strategic alliance upon not less than 60 days\' prior written notice to the other party.', ""provided that at any time following the 7th anniversary of such date, either party may terminate such strategic alliance upon not less than 60 days' prior written notice to the other party.""]",[],[],[],Israel,9/24/23,Yes,No,No,No
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,2438,short,"['THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAW OF THE STATE OF NEW YORK.']","['The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.']","['Licensor reserves the right to terminate this Agreement immediately upon written notice for any reason, including if the usage of the Brand is not in compliance with the standards and policies.']","[""EXCEPT WITH RESPECT TO LICENSEE'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS<omitted>INTERRUPTION AND THE LIKE) RELATING TO THIS AGREEMENT, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.""]","[""The parties intend that any and all goodwill in the Brand arising from Licensee's or any applicable sublicensees' Permitted Activity shall inure solely to the benefit of Licensor."", 'Notwithstanding the foregoing, in the event that Licensee or any sublicensee is deemed to own any rights in the Brand, Licensee hereby irrevocably assigns (or shall cause such sublicensees to assign), without further consideration, such rights to Licensor together with all goodwill associated therewith.']",[],New York,perpetual,Yes,Yes,Yes,No
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,2765,short,['This Affiliate Agreement shall be governed by the laws of the State of Delaware.'],[],[],[],[],[],Delaware,,No,No,No,No
