check_id,model,contract,words,stratum,contract_path,judge_verdict,n_claims_to_check,purpose_field,researcher_any_error_found_yes_no,researcher_n_errors,researcher_route,researcher_minutes_spent,notes
REC-01,claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,2438,short,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,PASSED all 12 items,24,"Licensor grants Licensee a limited, non-exclusive license to use the 'Morgan Stanley' brand/trademark solely to state in public filings, offering materials, advertising and press releases that Licensor (or an affiliate) provides investment advisory services to Licensee.",,,,,
REC-02,claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,2955,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,PASSED all 12 items,24,"The agreement establishes the terms under which eGain provides Customer with hosted, web-based access to eGain's software and related hosting/support services for processing and responding to online inquiries and messages from Customer's website users.",,,,,
REC-03,claude-sonnet-5,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,26789,long,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,PASSED all 12 items,23,"The agreement sets up a co-promotion arrangement under which Valeant will deploy its sales force to detail and promote Dova's product DOPTELET (avatrombopag) to certain specialty target professionals in the U.S., in exchange for a promotion fee based on net sales.",,,,,
REC-04,deepseek-v4-pro,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",2851,short,"/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",PASSED all 12 items,18,This agreement sets out a sponsorship and promotional relationship where WCC will promote XLI's 'Light Sheets' products and technology in exchange for stock and other consideration from XLI.,,,,,
REC-05,deepseek-v4-pro,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,7663,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,PASSED all 12 items,12,"This agreement appoints Alfa Aesar as the exclusive worldwide distributor of Nanophase Technologies' nanomaterials and dispersions in research quantities for research purposes, with Nanophase retaining rights to sell commercial quantities and provide free samples.",,,,,
REC-06,deepseek-v4-pro,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,38518,long,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,PASSED all 12 items,17,"This agreement grants AbbVie an exclusive option to obtain a license to develop and commercialize Harpoon's Licensed Compound (HPN217) and Licensed Products worldwide, with Harpoon conducting initial development activities and AbbVie having rights to exercise the option and take over development and commercialization.",,,,,
REC-07,gemini-3.1-pro,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",2851,short,"/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",PASSED all 12 items,14,"This agreement establishes a sponsorship relationship where WCC will market and promote XLI's 'Light Sheets' technology, including featuring it in television episodes, in exchange for XLI common stock and product supply.",,,,,
REC-08,gemini-3.1-pro,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,7663,medium,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,PASSED all 12 items,10,This agreement appoints ALFA AESAR as the exclusive worldwide distributor of NTC's nanomaterial products in research quantities for research purposes.,,,,,
REC-09,gemini-3.1-pro,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,38518,long,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,PASSED all 12 items,13,This agreement establishes a framework for Harpoon to conduct initial development of specific therapeutic compounds and grants AbbVie an exclusive option to acquire a worldwide license to further develop and commercialize the resulting products.,,,,,
REC-10,gpt-5.6-terra,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",2851,short,"/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",PASSED all 12 items,20,"The agreement establishes a sponsorship and promotional relationship under which WCC promotes XLI's Light Sheets products and technology, and each party licenses specified branding to the other for that promotion. XLI provides stock consideration and may provide products for WCC's promotional activities.",,,,,
