contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,short,109,True,,True,"{""parties"": [""ABP TRUST (filer)"", ""Adam D. Portnoy (filer)""], ""purpose"": ""This agreement allows the parties to file a joint Schedule 13G/A with respect to shares of Class A Common Stock of The RMR Group Inc., and any amendments, on behalf of each party under Rule 13d-1(k) of the Securities Exchange Act of 1934."", ""key_obligations"": [""ABP TRUST and Adam D. Portnoy agree that the Schedule 13G/A and any amendments will be filed on behalf of each of them.""], ""term"": ""not specified"", ""risks"": []}",,524,142,stop,2.16,0.00063,results/raw/20260825T120842__summary__deepseek-v4-pro__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,True,,True,"{""parties"": [""deep systems (service provider)"", ""AstroNutrition.com (client)""], ""purpose"": ""This agreement provides managed hosting services for AstroNutrition.com's website and domain, including system administration, change management, and technical support."", ""key_obligations"": [""deep systems: provide system administration for SMTP, IMAP, DNS, SQL database, and HTTP server software, including regular off-site backups"", ""deep systems: manage site source code and integrate software updates and bug fixes into zencart"", ""deep systems: provide 24x7 emergency phone support and 1-business-day email response on non-critical issues, with a 99% server uptime guarantee"", ""AstroNutrition.com: pay $175 per month for 12 months, plus overages of $20 per 1 G of bandwidth beyond 10 G per month""], ""term"": ""12 months beginning March 1, 2005 and ending February 28, 2006; no renewal terms specified"", ""risks"": [""No liability cap, indemnity, or limitation of liability provisions are stated"", ""No termination rights or notice provisions are specified"", ""The agreement does not address ownership of custom software or IP rights"", ""The uptime guarantee is stated but no remedy for breach is provided""]}",,816,267,stop,2.86,0.00107,results/raw/20260825T120844__summary__deepseek-v4-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,short,529,True,,True,"{""parties"": [""National Football League Alumni - Northern California Chapter (NFLA-NC) (charitable corporation, party to agreement)"", ""National Football League Alumni, Inc. (NFLA) (charitable corporation, party to agreement)"", ""Food For Athletes, Inc. / Gridiron BioNutrients (Company) (corporations, party to agreement)""], ""purpose"": ""This Addendum amends the Endorsement Agreement dated October 30, 2017, to add Gridiron CBD H2O Probiotic Water to the list of Licensed Products covered by the agreement."", ""key_obligations"": [""Company: pay a donation of $0.05 per Unit sold of Licensed Products within the Contract Territory to NFLA-NC, with quarterly payments starting the first full quarter of the agreement."", ""Company: provide quarterly sales reports of Licensed Products to NFLA-NC upon request."", ""NFLA-NC: donate 15% of the proceeds received from the Company to NFLA.""], ""term"": ""Not specified in the Addendum; the Addendum is effective November 7, 2017, and is enforceable under the terms of the original Endorsement Agreement dated October 30, 2017."", ""risks"": [""The Addendum does not specify the duration or termination provisions, leaving them to the original agreement."", ""The donation obligation is based on Units sold, with conversion rates for different product sizes, which may create complexity in calculating amounts due."", ""The Company must provide sales reports upon request, but the frequency and detail are not specified, potentially leading to disputes over compliance.""]}",,1222,331,stop,3.91,0.00146,results/raw/20260825T120850__summary__deepseek-v4-pro__GridironBionutrientsInc_20171206_8-K_EX-.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,True,,True,"{""parties"": [""Bank of America, N.A. (licensee)"", ""Cardlytics (Supplier/licensor)""], ""purpose"": ""This Product License Schedule is an order under the Software License, Customization and Maintenance Agreement, licensing Cardlytics' software (Cardlytics OPS Version 3.0) to Bank of America, with associated maintenance and support services."", ""key_obligations"": [""Cardlytics: deliver the licensed software and program materials, provide installation support (to be handled in a separate agreement), provide training classes, and provide maintenance services 24/7 during the maintenance period."", ""Bank of America: pay for source code delivery and maintenance as specified in the payment schedule (though software license and maintenance are stated as no charge)."", ""Cardlytics: provide no-charge maintenance from delivery through the warranty period (120 days), then paid maintenance for an initial 12-month term with automatic renewals unless terminated.""], ""term"": ""Maintenance term: initial 12 months after warranty period, then auto-renews for successive 12-month periods unless terminated. Source code delivery payment triggers begin 3 years after General Services Agreement Effective Date or one year after service reaches 10,000,000 users, whichever later. Overall agreement term not specified."", ""risks"": [""Bank of America has unilateral right to terminate maintenance services for convenience and reinstate without fee."", ""Source code delivery payment amounts are confidential and vary based on performance adjustments and breaches, creating financial uncertainty."", ""Maintenance services are required 24/7, which may impose significant service level obligations on Cardlytics."", ""Installation support is deferred to a separate agreement, leaving scope and terms undefined.""]}",,1517,355,stop,4.29,0.0017,results/raw/20260825T120856__summary__deepseek-v4-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,True,,True,"{""parties"": [""EWSD 1, LLC d/b/a Shi Farms (seller)"", ""Gridiron BioNutrients, Inc (buyer)""], ""purpose"": ""Shi Farms agrees to sell and Gridiron agrees to purchase 30,000 lbs of hemp biomass meeting specified quality standards, at a total price of $150,000."", ""key_obligations"": [""Shi Farms: sell and deliver 30,000 lbs of hemp biomass with minimum 6% total CBD/CBDA, less than 3% total THC, and free of contaminants above industry standards."", ""Gridiron: pay $150,000 upon execution of the agreement."", ""Shi Farms: quarantine product after payment to ensure safe keeping until delivery."", ""Shi Farms: ship product samples to a laboratory designated by Gridiron if testing is required."", ""Shi Farms: deliver biomass to the processor determined by Gridiron.""], ""term"": ""Not specified; either party may terminate at any time prior to delivery of the product."", ""risks"": [""Gridiron and affiliated parties must indemnify Shi Farms against all claims, losses, and expenses arising from Gridiron's breach or non-performance, with no apparent cap."", ""Either party may terminate the agreement at any time before delivery, which could leave the other party without recourse for costs incurred."", ""The agreement is governed by Colorado law and disputes must be litigated in Colorado state court, which may be inconvenient for Gridiron (based in Washington)."", ""Confidential information obligations require return of materials upon termination, but no specific duration or exceptions are stated.""]}",,1556,327,stop,3.1,0.00167,"results/raw/20260825T120900__summary__deepseek-v4-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,1762,True,,True,"{""parties"": [""Federated Investment Management Company (Adviser)"", ""Federated Advisory Services Company (FASC, service provider)""], ""purpose"": ""The Adviser engages FASC to provide specified services (performance attribution, administration and risk management) in connection with the Adviser's advisory or subadvisory services to investment accounts."", ""key_obligations"": [""FASC: provide the services described in Exhibit A"", ""Adviser: pay FASC the services fees calculated per Exhibit B"", ""FASC: create and maintain books and records as required by applicable law, including the 1940 Act, and provide access/copies to accounts"", ""Adviser: indemnify FASC for liabilities arising from FASC's performance, subject to standards of care""], ""term"": ""Effective January 1, 2004; continues until terminated by mutual agreement or by either party on not less than 60 days' written notice. For registered investment companies, subject to annual board approval and termination provisions under the 1940 Act."", ""risks"": [""FASC's liability is limited to losses from willful malfeasance, bad faith, gross negligence, or reckless disregard; no liability for ordinary errors or mistakes"", ""Adviser must indemnify FASC for claims arising from FASC's performance, with procedural conditions (prompt notice, defense control, settlement consent)"", ""Each party's obligations are limited to its own assets; shareholders, trustees, officers, employees, and agents are not personally liable"", ""For registered investment companies, the agreement may be terminated by the board or shareholders without penalty, and automatically terminates upon assignment or termination of the advisory agreement""]}",,2566,341,stop,3.34,0.00237,results/raw/20260825T120905__summary__deepseek-v4-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,short,1849,True,,True,"{""parties"": [""The HUANG JIA Country CLUB and Recreation Inc. (Party A / client)"", ""Chang Chen-Bin Architects Office (Party B / architect)""], ""purpose"": ""This agreement outsources the development of the Miaoli Royal Resort Hotel, including architectural development and business plans, soil and water conservation, environmental impact assessment, land usage change, landscaping, miscellaneous works, and building planning/design and construction monitoring."", ""key_obligations"": [""Party A must pay service fees in stages as specified in Article V."", ""Party A must provide land rights data and other required basic data (Article VIII)."", ""Party B must perform the outsourced work described in Article III, including plans, drawings, reviews, and monitoring."", ""Party B must follow Party A's instructions and ensure plans meet construction laws (Article IX)."", ""Party B must report progress and completed content to Party A (Article IX).""], ""term"": ""Not specified; the contract does not state a duration, expiration, or renewal terms."", ""risks"": [""Party A's fees paid are non-refundable if the contract cannot be performed for any reason other than the architect's fault; if the architect is at fault, the architect must refund fees in full without interest (Article V)."", ""Party A bears extra service fees if it requires a comprehensive modification of the development plan (Article IV)."", ""The contract excludes many costs (e.g., land measurement, geological drilling, regulatory fees) that Party A must bear separately (Article VI)."", ""Disputes are resolved by arbitration in Miaoli County, with the Miaoli District Court as the first-instance court for any revocation proceeding (Article XI).""]}",,2886,351,stop,3.87,0.0026,results/raw/20260825T120910__summary__deepseek-v4-pro__ImperialGardenResortInc_20161028_DRS_(on.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,True,,True,"{""parties"": [""Yaskawa Electric Corporation (YEC) (investor and distributor)"", ""Argo Medical Technologies Ltd. (ARGO) (product developer and distributor)""], ""purpose"": ""This agreement establishes a strategic alliance between YEC and ARGO to collaborate on marketing, distribution, commercialization, improvement, and joint development of healthcare robotics products, with YEC investing in ARGO and becoming exclusive distributor of ARGO's products."", ""key_obligations"": [""YEC: Purchase Series D-1 Convertible Preferred Shares of ARGO under a separate Share Purchase Agreement (SPA)."", ""ARGO: Appoint YEC as exclusive distributor of its products in the territory specified in the Distribution Agreement (DA)."", ""YEC: Market and distribute ARGO's products in a professional manner under the DA."", ""Both parties: Form a Joint Steering Committee (JSC) that meets at least four times per year to review progress, set sales targets, discuss improvements, R&D responsibilities, licensed manufacturing, and quality improvements."", ""Both parties: Sign and comply with a new Confidentiality and Non-Disclosure Agreement (New NDA)."", ""Both parties: Not solicit or hire each other's employees or independent contractors during the collaboration and for 12 months after termination."", ""Both parties: Coordinate through designated contact persons.""], ""term"": ""Initial term of 10 years from Effective Date (September 24, 2013). Either party may terminate after the 7th anniversary with 60 days' written notice. Renewal requires written agreement by authorized officers at least 30 days before expiration. Termination also possible for material breach (with 60-day cure period) or by mutual written agreement."", ""risks"": [""YEC's investment in ARGO shares does not invalidate ARGO's obligations if YEC sells its shares."", ""Termination of the DA voids the distribution provision (Section 3) but does not necessarily terminate the overall agreement."", ""Intellectual property is provided on an 'as is' basis with no warranties, and no IP rights are granted except as expressly stated."", ""Any joint development requires negotiation of separate license agreements before use of IP."", ""Non-solicitation breach remedies include specific performance and injunctive relief, with waiver of bond requirements."", ""Litigation expenses and attorney's fees are recoverable by the prevailing party in disputes."", ""The agreement is governed by Israeli law with exclusive jurisdiction in Tel Aviv courts."", ""Assignment of the agreement requires prior written consent of the other party.""]}",,3490,516,stop,5.12,0.00333,results/raw/20260825T120917__summary__deepseek-v4-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,2438,True,,True,"{""parties"": [""Morgan Stanley Investment Management Inc. (licensor)"", ""Morgan Stanley Direct Lending Fund (licensee)""], ""purpose"": ""This agreement grants the licensee a non-exclusive, non-transferable license to use the 'Morgan Stanley' trademark and design solely for the permitted activity of stating in public filings, offering materials, advertising, and press releases that investment advisory services are provided by the licensor or an affiliate."", ""key_obligations"": [""Licensee must use the Brand only for the permitted activity and in a manner consistent with Licensor's quality standards and reputation."", ""Licensee must submit all proposed uses of the Brand to Licensor for prior written approval."", ""Licensee must comply with all applicable laws and industry practice pertaining to its business and the permitted activity."", ""Licensee must not challenge or dispute Licensor's ownership of the Brand and must assign any rights it may acquire in the Brand to Licensor."", ""Licensee must notify Licensor of any infringement of the Brand and cooperate with Licensor in any action against infringers."", ""Licensee must indemnify Licensor and its affiliates against third-party claims arising from Licensee's breach, its business operations, or unauthorized use of the Brand."", ""Licensee may not assign or transfer the agreement or its rights without Licensor's prior written consent, except for a name change.""], ""term"": ""Commences on the Effective Date and continues in perpetuity, unless terminated earlier under Sections 4.2 through 4.4. Licensor may terminate for convenience immediately upon written notice; either party may terminate for breach if not cured within 15 days; automatic termination if the investment adviser ceases to act or is no longer an affiliate."", ""risks"": [""Licensor has unilateral termination right for convenience, with immediate effect, without cause."", ""Licensee must obtain Licensor's prior written approval for all uses of the Brand, giving Licensor significant control."", ""Licensee must assign to Licensor any rights it may acquire in the Brand, and all goodwill inures to Licensor."", ""Licensee's indemnification obligations are broad, covering third-party claims arising from its business operations and any unauthorized use of the Brand."", ""Licensee is prohibited from assigning the agreement without consent, and a merger or change of control is deemed an assignment requiring consent."", ""Licensor disclaims all implied warranties, and the Brand is provided on an 'as-is' basis."", ""Neither party is liable for consequential or indirect damages, except for Licensee's indemnification obligations."", ""Licensee waives jury trial and consents to exclusive jurisdiction in New York City.""]}",,3984,535,stop,5.36,0.00369,results/raw/20260825T120924__summary__deepseek-v4-pro__MorganStanleyDirectLendingFund_20191119_.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,True,,True,"{""parties"": [""Physician Sales & Service, Inc. (PSS) (issuer/transferee of shares)"", ""Gulf South Medical Supply, Inc. (GSMS) (company whose shareholders are affiliates)"", ""William W. McInnes (affiliate/shareholder)"", ""Edward Shulman (affiliate/shareholder)"", ""Donna C.E. Williamson (affiliate/shareholder)"", ""David L. Bogetz (affiliate/shareholder)"", ""Melvin L. Hecktman (affiliate/shareholder)"", ""Thomas G. Hixon (affiliate/shareholder)"", ""Steve Richardson (affiliate/shareholder)"", ""Guy W. Edwards (affiliate/shareholder)"", ""Stanton Keith Pritchard (affiliate/shareholder)"", ""Louie Vaughan (affiliate/shareholder)""], ""purpose"": ""This agreement restricts the sale or transfer of PSS common stock received by GSMS affiliates in a merger, to ensure compliance with SEC rules on pooling-of-interests accounting and securities registration, and to preserve the tax-free status of the merger."", ""key_obligations"": [""Each affiliate agrees not to sell, transfer, or dispose of PSS shares received in the merger until PSS publishes combined financial results meeting ASR 130 and 135 requirements (within 45 days after the first fiscal quarter end)."", ""Each affiliate represents that PSS shares are taken for their own account and not for others."", ""Each affiliate acknowledges that PSS shares are not registered and can only be sold under registration, Rule 145(d), or another exemption; PSS has no obligation to register the shares."", ""Each affiliate warrants that during the 30 days before the merger effective time, they have not sold or disposed of GSMS shares."", ""Each affiliate agrees to treat the merger as tax-free under Section 368 and not to sell PSS shares in a way that would violate the continuity-of-interest requirement."", ""PSS agrees to place stop-transfer instructions and a restrictive legend on the PSS share certificates."", ""PSS agrees to reissue certificates without the ASR 130/135 legend once those requirements are met, and without the Rule 144/145 legend upon expiration of the restrictive period or if rules change, subject to counsel opinion."", ""PSS agrees to file all required reports under Section 13 of the Exchange Act for three years after the merger to keep Rule 145(d) available."", ""If an affiliate wants to sell under Rule 145(d), they must provide a representation letter and information to the transfer agent; PSS's counsel will provide opinions if the sale complies."", ""The restrictions apply to shares beneficially owned by the affiliate, including shares held by spouse, relatives, trusts, or entities in which the affiliate has at least a 10% interest.""], ""term"": ""Not specified; the agreement does not state an overall duration, but certain obligations (e.g., PSS's reporting obligation) last for three years after the merger effective date."", ""risks"": [""Affiliates face significant restrictions on selling PSS shares, with no obligation on PSS to register the shares or facilitate sales except under Rule 145(d) conditions."", ""Affiliates may be subject to Section 16(b) short-swing profit liability if they are directors or officers of PSS and sell shares within six months of the merger."", ""The agreement imposes broad restrictions on shares deemed beneficially owned, including shares of family members and entities, which could limit liquidity."", ""Affiliates must comply with tax continuity-of-interest requirements; selling too many shares could jeopardize the tax-free status of the merger, potentially causing adverse tax consequences.""]}",,4640,747,stop,7.55,0.00454,results/raw/20260825T120934__summary__deepseek-v4-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-.txt
