contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,short,109,True,,True,"{""parties"": [""ABP Trust (joint Schedule 13G/A filer)"", ""Adam D. Portnoy (joint Schedule 13G/A filer)""], ""purpose"": ""The agreement authorizes the filing of a Schedule 13G/A concerning Class A Common Stock of The RMR Group Inc. on behalf of both signatories, in accordance with Rule 13d-1(k). It also covers amendments, including amendments filed on Schedule 13D, when signed by each signatory."", ""key_obligations"": [""ABP Trust must join in the specified Schedule 13G/A filing and any covered amendments signed by both parties."", ""Adam D. Portnoy must join in the specified Schedule 13G/A filing and any covered amendments signed by both parties.""], ""term"": ""not specified"", ""risks"": []}",,524,167,stop,8.28,0.00305,results/raw/20260825T120848__summary__gpt-5.6-terra__RMRGROUPINC_01_22_2020-EX-99.1-JOINT_FIL.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,short,302,True,,True,"{""parties"": [""AstroNutrition.com (customer/recipient of managed hosting services)"", ""Deep Systems (managed hosting provider)""], ""purpose"": ""The agreement provides managed hosting and related system administration, change management and technical support for the AstroNutrition.com domain and website. It also sets rates for certain optional project management and custom software development services."", ""key_obligations"": [""Deep Systems must manage the SMTP, IMAP, DNS, SQL database and HTTP server software and systems for the AstroNutrition.com domain and website, including regular off-site backups of the website and database."", ""Deep Systems must manage site source code and integrate contributed software updates and bug fixes into Zen Cart."", ""Deep Systems must provide 24/7 emergency telephone support and respond to non-critical email issues within one business day."", ""Deep Systems must provide a 99% server uptime guarantee."", ""AstroNutrition.com must pay managed hosting fees of CAD $175 per month, billed on the first day of each month, and bandwidth overage charges of CAD $20 per 1 GB above 10 GB in a month."", ""AstroNutrition.com must pay CAD $55 per hour for external-development project management and for custom software development, where such services are provided.""], ""term"": ""12 months, from March 1, 2005 to February 28, 2006; renewal arrangements not specified."", ""risks"": [""The agreement states a 99% server uptime guarantee but does not specify remedies, service credits, exclusions or measurement methodology for a failure to meet it."", ""Bandwidth use above 10 GB per month incurs CAD $20 per additional 1 GB."", ""No liability limitation, indemnity, termination rights, IP ownership provisions, confidentiality terms, or renewal arrangements are stated.""]}",,811,349,stop,6.38,0.00581,results/raw/20260825T120854__summary__gpt-5.6-terra__BANGIINC_05_25_2005-EX-10-Premium_Manage.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,short,529,True,,True,"{""parties"": [""National Football League Alumni - Northern California Chapter (NFLA-NC) (charitable corporation; recipient of Company donations and party to the addendum)"", ""National Football League Alumni, Inc. (NFLA) (charitable corporation; recipient of 15% of specified NFLA-NC proceeds and party to the addendum)"", ""Food For Athletes, Inc. / Gridiron BioNutrients\u2122 (Company) (provider of Licensed Products and donor)""], ""purpose"": ""This addendum supplements the parties' October 30, 2017 Endorsement Agreement. It adds Gridiron CBD H2O Probiotics\u2122 Water to the defined Licensed Products and sets the applicable per-unit donation treatment."", ""key_obligations"": [""Company: donate $0.05 per Unit sold of Licensed Products within the Contract Territory to NFLA-NC, with quarterly allocation and disbursement beginning in the first full quarter of the agreement."", ""Company: apply the stated unit conversions, including one Unit for each bottle of Gridiron CBD H2O Probiotics\u2122 Water and 30 Units for each 4oz bottle of specified concentrate products."", ""Company: provide NFLA-NC, upon request, with its most recent quarterly sales report for Licensed Products."", ""NFLA-NC: donate 15% of the described donation proceeds to NFLA."", ""All parties: sign any amendment adding other Company products to the Licensed Products list during the Contract Period.""], ""term"": ""Effective November 7, 2017; donations begin in the first full quarter and continue quarterly for the term of the underlying agreement. Expiration and renewal arrangements are not specified in this addendum."", ""risks"": [""The addendum incorporates and is enforceable under the October 30, 2017 Endorsement Agreement, whose terms are not included here."", ""Donation liability is tied to Units sold within the undefined Contract Territory and depends on product-specific conversion ratios, including 30 Units per 4oz concentrate bottle."", ""NFLA-NC is required to pass 15% of the specified proceeds to NFLA."", ""The Company has an express sales-reporting obligation only upon NFLA-NC's request; no audit right or further verification mechanism is stated in this addendum.""]}",,1216,457,stop,6.53,0.00792,results/raw/20260825T120901__summary__gpt-5.6-terra__GridironBionutrientsInc_20171206_8-K_EX-.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,short,756,True,,True,"{""parties"": [""Bank of America, N.A. (Bank of America; licensee and recipient of software, maintenance and related services)"", ""Cardlytics (Supplier; software licensor and service provider)""], ""purpose"": ""This Product License Schedule is an order under the Software License, Customization and Maintenance Agreement for Bank of America to license Cardlytics OPS (Offer Placement System) Version 3.0, associated program materials and platform components. It also addresses source-code delivery triggers, maintenance, support, installation and training arrangements."", ""key_obligations"": [""Supplier must provide the licensed Cardlytics OPS software, installation and operational guides, and the specified platform components under the Agreement."", ""Supplier must provide no-charge maintenance from the Delivery Date through the Warranty Period; the stated maintenance coverage is 24 hours per day, 7 days per week, including Bank of America holidays."", ""Supplier must provide the first paid maintenance term for 12 months after the Warranty Period, with subsequent 12-month renewals unless Bank of America terminates maintenance under the Agreement."", ""Supplier must provide source code in the circumstances and for the payments stated in the schedule, including upon specified performance failures or material breach."", ""Bank of America must maintain its copy of source code at the designated source-code installation site, although that address is TBD."", ""Bank of America may pay maintenance fees during the initial and renewal maintenance terms in the payment increments described in the Agreement; however, the schedule states that software license and maintenance are provided at no charge."", ""Supplier is to provide training in connection with installation of the first software copy, but the training date is not specified."", ""Installation support is to be handled under a separate agreement; non-maintenance support is to be provided at the Price List time-and-materials rates.""], ""term"": ""The schedule does not state an overall agreement term or expiration. The acceptance period is 120 days from the Installation Date and the warranty period is 120 days. Maintenance is free through the Warranty Period, followed by an initial 12-month paid term and automatic successive 12-month renewals unless Bank of America terminates maintenance; Bank of America may terminate maintenance for convenience at any time under the Agreement."", ""risks"": [""Bank of America has a unilateral right to terminate maintenance services for convenience at any time under the Agreement, and may later reinstate them without a reinstatement fee."", ""Source-code delivery may be triggered by Supplier's failure to meet either specified performance adjustment for six consecutive months, by satisfaction of both adjustments after the stated timing conditions, or by Supplier's material breach of either agreement."", ""Certain source-code payment triggers are linked to confidential or formula-based amounts, including a calculation based on Bank of America Total Revenue Share less Supplier Total Revenue Share for the preceding 12 months."", ""Several operationally material details remain TBD, including delivery date, installation date, delivery method and receipt state, installation and source-code sites, and training date."", ""Installation support is not included in this schedule and is instead stated to be subject to a separate agreement.""]}",,1468,606,stop,8.0,0.01021,results/raw/20260825T120909__summary__gpt-5.6-terra__CardlyticsInc_20180112_S-1_EX-10.16_1100.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",short,903,True,,True,"{""parties"": [""EWSD 1, LLC d/b/a Shi Farms (seller of hemp biomass)"", ""Gridiron BioNutrients, Inc. (buyer of hemp biomass)""], ""purpose"": ""Shi Farms agrees to sell, and Gridiron agrees to purchase, 30,000 pounds of industrial hemp biomass. The agreed purchase price is $5.00 per pound, for a total of $150,000."", ""key_obligations"": [""Shi Farms must supply 30,000 pounds of biomass meeting the stated CBD/CBDA minimum, THC maximum, and contamination standards."", ""Gridiron must purchase the biomass and remit payment upon execution of the agreement once the parties have agreed to the transaction."", ""Shi Farms must use best efforts to quarantine the product after receiving payment until the parties' agreed delivery date."", ""Shi Farms must ship product samples to a laboratory designated by Gridiron if Gridiron requires third-party biomass analysis for processing."", ""Shi Farms must deliver the biomass, in the required condition, to the processor designated by Gridiron."", ""Each party must provide written notices using the specified delivery methods."", ""Each party must protect the other party's confidential information and, when the agreement ends, return copies and take reasonable measures to prevent representatives from retaining or disclosing it."", ""Gridiron and its affiliated parties must indemnify and hold Shi Farms harmless for specified losses and expenses arising from inaccuracies or breaches of representations or warranties, non-performance, or obligations incurred by Gridiron and its affiliated parties.""], ""term"": ""No fixed duration, expiration date, or renewal arrangement is specified; either party may terminate at any time before delivery of the product."", ""risks"": [""Either party has a unilateral right to terminate at any time before product delivery, despite the agreement requiring payment upon execution."", ""The indemnity is one-sided: Gridiron and its affiliated parties indemnify Shi Farms for broad categories of claims, losses, liabilities, taxes, fines, and out-of-pocket costs, including attorneys' fees, with no stated cap."", ""No express refund, return, or other consequence of pre-delivery termination is stated, including where payment has already been made."", ""Shi Farms' post-payment product-storage obligation is only to use 'best efforts' to quarantine the product."", ""Disputes must be litigated in a Colorado state court under Colorado law."", ""Confidentiality obligations apply to marked confidential information and specified categories, with unauthorized disclosure or retention constituting a material breach.""]}",,1563,492,stop,7.48,0.00903,"results/raw/20260825T120916__summary__gpt-5.6-terra__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,short,1762,True,,True,"{""parties"": [""Federated Investment Management Company (Adviser)"", ""Federated Advisory Services Company (FASC; service provider)""], ""purpose"": ""FASC provides performance attribution, administration and risk-management support services to the Adviser in connection with the Adviser's investment advisory or subadvisory services to Accounts. The Adviser pays monthly service fees calculated under Exhibit B."", ""key_obligations"": [""FASC must provide the services described in Exhibit A, including performance attribution and administration and risk-management support."", ""Adviser must pay FASC monthly in arrears the applicable service fee, calculated as FASC's applicable service costs allocated by assets under management, plus a 10% margin."", ""FASC must create and maintain legally required records relating to its services that are not maintained by another party, including applicable Investment Company Act records, and provide Account access and requested copies."", ""For registered investment company Accounts, FASC must obtain the relevant Account Board's approval before investment advisory services may commence, if the services fall within the statutory definition of investment advisory services."", ""For registered investment company Accounts, continuation of any investment advisory services is subject to annual Board approval as specified in the agreement.""], ""term"": ""Effective 1 January 2004 and continues until terminated by mutual agreement or either party on at least 60 days' written notice. For registered investment company Accounts receiving investment advisory services, commencement requires Board approval and continuation requires annual Board approval; the arrangement automatically terminates on assignment or termination of the relevant Advisory Agreement."", ""risks"": [""FASC is not liable for errors of judgment, mistakes of law, or losses connected with the agreement unless caused by its willful malfeasance, bad faith, gross negligence, or reckless disregard of duties."", ""The Adviser must indemnify FASC against liabilities and defence expenses arising from FASC's performance within the stated liability standard, subject to notice and defence-control provisions."", ""The Adviser may assume the defence of an indemnified claim; once it does so, it generally need not reimburse FASC's further defence costs unless incurred at its or its counsel's request."", ""FASC cannot settle an indemnified claim without the Adviser's written consent, unless the Adviser does not timely assume the defence and agree to indemnify."", ""Each party's recourse is limited to the other party and its assets; neither party may seek satisfaction from the other party's shareholders, trustees, officers, employees, or agents."", ""Either party may terminate on 60 days' written notice; for qualifying registered investment company services, the Account's Board or securityholders may terminate without penalty on 60 days' notice to the Adviser, and assignment or termination of the Advisory Agreement causes automatic termination.""]}",,2547,536,stop,8.42,0.01153,results/raw/20260825T120925__summary__gpt-5.6-terra__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,short,1849,True,,True,"{""parties"": [""The HUANG JIA Country CLUB and Recreation Inc. (Party A; client/developer)"", ""Chang Chen-Bin Architects Office (Party B; architect/service provider)""], ""purpose"": ""Party B is engaged to plan and support the development of the Miaoli Royal Resort Hotel project, including development planning, regulatory submissions, environmental and soil-and-water conservation work, landscaping, miscellaneous works, building design and construction monitoring."", ""key_obligations"": [""Party A must pay Party B's service fees in the staged amounts and at the milestones specified in Article V, including NTD 12 million for Parts I\u2013VI and building planning/design and monitoring fees calculated by reference to legal construction cost."", ""Party A must provide land-rights information and other available information required by Party B, including prescribed developer and project information."", ""Party A must bear additional service fees if it requires comprehensive changes to the development plan that cause Party B additional costs."", ""Party B must prepare the plans, documents, drawings, reports, submissions, coordination and monitoring services listed in Article III, including architectural development and business plans, soil and water conservation materials, environmental impact assessment materials, land-use-change materials, landscaping, miscellaneous works and building planning/design."", ""Party B must attend relevant review meetings and presentations, respond to consultations, and revise plans and drawings within the stated outsourced work."", ""Party B must arrange for required professional sign-off and verification for specified project work, including land preparation, water discharge, miscellaneous works and relevant geological work."", ""Party B must follow Party A's instructions, ensure plans and designs comply with applicable construction laws and regulations, protect Party A's interests, use economical options subject to safety and reliability, and report project progress and completed work to Party A.""], ""term"": ""not specified"", ""risks"": [""If the contract cannot be performed for a reason other than Party B, fees already paid are non-refundable; if non-performance is due to Party B, Party B must refund fees paid in full without interest."", ""Party A bears additional service fees arising from comprehensive modifications it requests to the development plan."", ""Various costs are excluded from Party B's service fee, including land measurement and boundary identification, geological drilling, certain regulatory-compliance costs, authority review fees, soil-and-water-conservation deposits, and fees for relevant experts and scholars."", ""Professional-service fees may be paid directly by the appointed person to professional institutions and deducted from service fees otherwise due, under the special terms."", ""The payment schedule contains an apparent inconsistency: Stages 1\u20134 each state NTD 1.2 million numerically but describe the amount in words as one million and twenty thousand."", ""Disputes not resolved by negotiation within one month may be referred to arbitration in Miaoli County, with the arbitration result stated to be compulsory; proceedings to revoke an award are subject to the Miaoli District Court of Taiwan as first-instance court."", ""The stated project timetable is expressed as approximate planned durations and is tied to Party A's plan progress, rather than being a firm completion deadline.""]}",,2900,761,stop,11.56,0.01493,results/raw/20260825T120936__summary__gpt-5.6-terra__ImperialGardenResortInc_20161028_DRS_(on.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,short,2320,True,,True,"{""parties"": [""Yaskawa Electric Corporation (YEC; strategic-alliance partner, investor and exclusive distributor under the separate Distribution Agreement)"", ""Argo Medical Technologies Ltd. (ARGO; strategic-alliance partner, issuer of shares under the separate Share Purchase Agreement and supplier of products under the separate Distribution Agreement)""], ""purpose"": ""The agreement establishes a strategic alliance to explore and develop collaboration in healthcare robotics, including commercialization of ARGO products, potential distribution of future YEC healthcare products, product and quality improvements, and possible future joint research and development."", ""key_obligations"": [""YEC and ARGO must enter into a separate Share Purchase Agreement and Distribution Agreement concurrently with this agreement, subject to the stated conditions."", ""YEC must purchase ARGO Series D-1 Convertible Preferred Shares on the terms and conditions of the separate Share Purchase Agreement."", ""Subject to the Distribution Agreement, ARGO must appoint YEC as exclusive distributor of ARGO products in the territory specified in that agreement."", ""Subject to the Distribution Agreement, YEC must market and distribute ARGO products professionally."", ""YEC and ARGO must establish a Joint Steering Committee and meet at least quarterly to discuss the specified commercial, development, manufacturing, improvement and licensing opportunities."", ""Each party must appoint and maintain a contact person available on reasonable notice for coordination under the agreement."", ""Neither party may use, copy, modify or license the other party's intellectual property without prior written consent, except as expressly provided."", ""Before either party uses the other's intellectual property in a mutually agreed joint design, development, improvement or modification project, the parties must negotiate in good faith toward appropriate licence agreement(s)."", ""YEC and ARGO must execute and comply with a new confidentiality and non-disclosure agreement regarding confidential information disclosed under this agreement."", ""Each party must not attempt to hire or engage the other's employees or independent contractors during collaborative efforts and for 12 months after their expiry or termination, unless mutually agreed in writing."", ""Neither party may assign or transfer the agreement without the other party's prior written consent.""], ""term"": ""Initial term of 10 years from 24 September 2013; from the seventh anniversary, either party may terminate on at least 60 days' prior written notice. Renewal requires written agreement by authorized officers at least 30 days before expiry, including the renewal period."", ""risks"": [""ARGO's obligations under this agreement continue even if YEC sells some or all of its ARGO shares."", ""The YEC exclusive-distributor appointment is governed by the separate Distribution Agreement and becomes void if that agreement is terminated under its terms."", ""Either party may terminate immediately for the other's material breach if the breach is not cured within 60 days after notice, unless an accepted remediation plan is proposed within that period; the parties may also terminate by mutual written agreement."", ""Intellectual property remains with its owner; supplied IP is generally provided \""as is,\"" with no express or implied warranties, including merchantability, fitness for purpose or non-infringement."", ""The parties are restricted from soliciting the other's personnel during collaboration and for 12 months thereafter; specific performance, injunctions and other equitable relief are available for breach without a bond requirement."", ""A defaulting party must reimburse the non-defaulting party's reasonably incurred default-related costs and attorney fees; in enforcement litigation, the prevailing party may recover costs and reasonable attorney fees, including on appeal."", ""Israeli law governs, and disputes must be brought exclusively in courts of competent jurisdiction in Tel Aviv, Israel."", ""Termination, invalidity or amendment of this agreement does not affect the separate Share Purchase Agreement, Distribution Agreement or New NDA; conversely, changes to those agreements or YEC's divestiture of ARGO shares do not affect this agreement.""]}",,3475,742,stop,9.18,0.01585,results/raw/20260825T120945__summary__gpt-5.6-terra__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,short,2438,True,,True,"{""parties"": [""Morgan Stanley Investment Management Inc. (licensor)"", ""Morgan Stanley Direct Lending Fund (licensee)""], ""purpose"": ""The agreement grants the Licensee a limited right to use the Morgan Stanley name and design solely in specified filings, regulatory communications, offering and advertising materials, and press releases to state that investment advisory services are provided by the Licensor or its affiliate. The licence is subject to approval, quality-control and other restrictions protecting the Brand."", ""key_obligations"": [""Licensor must grant Licensee a non-exclusive, non-transferable and generally non-sublicensable licence to use the Brand solely for the Permitted Activity."", ""Licensee must obtain Licensor's prior written approval for every proposed use of the Brand."", ""Licensee must use the Brand consistently with Licensor's quality standards, good trademark practice, applicable trademark notices, applicable laws and reputable industry practice, and must not harm the Brand or its goodwill."", ""Licensee must comply, at its own expense, with laws and reputable industry practice relating to its business and the Permitted Activity."", ""Licensee must acknowledge Licensor's sole ownership of the Brand, refrain from registrations or challenges inconsistent with that ownership, and assign to Licensor any Brand rights it or a sublicensee is deemed to acquire."", ""Licensee may sublicense only to a wholly owned subsidiary, with Licensor's prior written consent; it must ensure sublicense terms are consistent with this agreement, report sublicensee breaches promptly, and is responsible for sublicensee acts and omissions."", ""Licensee must promptly notify Licensor of actual or threatened infringement or other unauthorized use of the Brand and cooperate, at Licensor's expense, in enforcement actions brought by Licensor."", ""Licensee must defend, indemnify and hold harmless Licensor and specified related persons against covered third-party claims arising from Licensee breaches, Licensee's business, or unauthorized Brand use."", ""Licensee may not assign or encumber the agreement or Brand rights without Licensor's prior written consent, subject only to the stated name-change exception."", ""Licensor must promptly notify Licensee and tender the defense of an indemnified claim, and cooperate in the defense at Licensee's expense.""], ""term"": ""Commences on the Effective Date and continues in perpetuity unless terminated; no renewal arrangement is stated."", ""risks"": [""Licensor may terminate immediately on written notice for any reason, including non-compliant Brand use."", ""The agreement terminates automatically and immediately if the relevant Licensor affiliate ceases to act as Licensee's investment adviser or ceases to be a Licensor affiliate; Licensor also has a further termination right following notice of termination or non-renewal of the advisory agreement."", ""On termination, Licensee must immediately cease all Permitted Activity except as required by law."", ""Licensee provides a broad, uncapped indemnity for specified third-party claims, including claims arising from its business and its breach."", ""Licensor disclaims nearly all warranties concerning the agreement and Brand, including title, non-infringement, merchantability and fitness for use; Brand use is on an as-is basis."", ""Neither party is liable for special, indirect, consequential, exemplary, punitive or incidental damages, except that this exclusion does not apply to Licensee's indemnification obligations."", ""All goodwill arising from Licensee's or sublicensees' Brand use belongs solely to Licensor, and Licensee must assign any deemed Brand rights to Licensor without further consideration."", ""Licensee has no right to assign on a merger, change of control, reorganization or sale of substantially all stock without Licensor's consent; a prohibited transfer is void and causes immediate termination."", ""Licensor has sole control of infringement actions concerning the Brand."", ""Licensee agrees Licensor may seek injunctive relief, including without bond, for Licensee breaches that harm the Brand.""]}",,3907,763,stop,10.1,0.01697,results/raw/20260825T120955__summary__gpt-5.6-terra__MorganStanleyDirectLendingFund_20191119_.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,short,2765,True,,True,"{""parties"": [""Physician Sales & Service, Inc. (PSS; issuer and counterparty)"", ""William W. McInnes (GSMS affiliate shareholder; undersigned)"", ""Edward Shulman (GSMS affiliate shareholder; undersigned)"", ""Donna C.E. Williamson (GSMS affiliate shareholder; undersigned)"", ""David L. Bogetz (GSMS affiliate shareholder; undersigned)"", ""Melvin L. Hecktman (GSMS affiliate shareholder; undersigned)"", ""Thomas G. Hixon (GSMS affiliate shareholder; undersigned)"", ""Steve Richardson (GSMS affiliate shareholder; undersigned)"", ""Guy W. Edwards (GSMS affiliate shareholder; undersigned)"", ""Stanton Keith Pritchard (GSMS affiliate shareholder; undersigned)"", ""Louie Vaughan (GSMS affiliate shareholder; undersigned)""], ""purpose"": ""This agreement governs restrictions and procedures applicable to PSS common stock received by the named GSMS affiliate shareholders in the merger of PSS Merger Corp. into Gulf South Medical Supply, Inc. It is intended to address pooling-of-interests accounting restrictions, securities-law transfer restrictions, and the merger's intended tax-free treatment."", ""key_obligations"": [""Each undersigned must not sell, transfer, otherwise dispose of, or reduce risk in the PSS shares received in the merger until PSS notifies them that the ASR 130 and 135 requirements have been met."", ""PSS must publish the required post-merger combined operating results as promptly as practicable in its sole discretion, and in any event within 45 days after the end of the first PSS fiscal quarter containing the required post-merger period; PSS must promptly notify each undersigned after publication."", ""Each undersigned represents that the merger shares are acquired for that person's own account and not for others."", ""Each undersigned must comply with applicable registration requirements, Rule 145(d), or another available Securities Act exemption for any disposition of PSS shares."", ""Each undersigned represents that, during the 30 days before the merger effective time, they did not dispose of or reduce risk in GSMS shares beneficially owned as of the shareholder-meeting record date."", ""Each undersigned must treat the merger as tax-free for federal income-tax purposes consistently with PSS and represents no prearranged plan or intent to dispose of PSS shares in a manner that would defeat the stated continuity-of-interest requirement."", ""PSS must place stop-transfer instructions with its transfer agent and impose the stated restrictive legend on merger-share certificates and applicable replacement or recapitalization certificates."", ""PSS must, upon request, reissue certificates without the ASR 130 and 135 restriction legend as soon as practicable after those requirements are met."", ""PSS must, upon request and receipt of its counsel's opinion, reissue certificates without Rule 144/145(d) restriction legends if the relevant rules are amended to eliminate the restrictions or the Rule 145(d) restrictive period has expired."", ""PSS must file timely Exchange Act Section 13 reports for three years after the merger effective date so that the public-information condition of Rule 145(d) is available."", ""An undersigned seeking a transfer during the Rule 145(d) restrictive period must provide a representation letter and reasonably requested information to PSS's transfer agent; if PSS counsel concludes the transfer complies with Rule 145(d), PSS must cause counsel to provide necessary transfer-agent opinions.""], ""term"": ""Effective December 14, 1997; no general expiration or renewal is specified. PSS's Section 13 reporting obligation lasts three years after the merger effective date; transfer restrictions operate until their stated regulatory or publication-based conditions are satisfied."", ""risks"": [""The undersigned's ability to sell, transfer, dispose of, or hedge PSS merger shares is restricted initially until PSS publishes required combined results and gives notice, and thereafter remains subject to registration, Rule 145(d), Rule 144 where applicable, or another exemption."", ""PSS has no obligation to register the undersigned's shares or take action to make a registration exemption available."", ""PSS controls, in its sole discretion subject to an outside deadline, when it publishes the post-merger results that trigger release of the initial pooling-of-interests restriction."", ""Stop-transfer instructions and restrictive legends may prevent transfers until PSS's conditions for legend removal are met; certain removals also require an opinion of PSS counsel."", ""Restrictions extend to shares deemed beneficially owned under federal securities laws, including certain shares held by family members, trusts, estates, and entities."", ""An undersigned who is or becomes a PSS director or officer may face potential Section 16(b) liability for sales within six months after the merger effective time."", ""The undersigned agrees to tax treatment consistent with PSS and gives a continuity-of-interest representation concerning planned dispositions.""]}",,4636,970,stop,11.6,0.02091,results/raw/20260825T121007__summary__gpt-5.6-terra__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-.txt
